pandemicBoard, 48, 94
 0, b, sf, -3.41,  0.84
 1, b, ch, -2.58,  1.10
 2, b, at, -2.33,  0.64
 3, b, mo, -1.92,  1.12
 4, b, wa, -1.54,  0.66
 5, b, ny, -1.42,  1.04
 6, b, ma, -0.32,  0.78
 7, b, lo, -0.23,  1.40
 8, b, pa,  0.25,  1.07
 9, b, es,  0.42,  1.47
10, b, ml,  0.67,  1.19
11, b, st,  1.13,  1.59
12, y, la, -3.27,  0.20
13, y, mc, -2.68,  0.00
14, y, mi, -1.97,  0.22
15, y, bo, -2.01, -0.56
16, y, li, -2.24, -1.28
17, y, sa, -2.18, -2.02
18, y, bu, -1.45, -1.92
19, y, sp, -1.09, -1.39
20, y, jo,  0.97, -1.61
21, y, ki,  0.61, -0.95
22, y, lg,  0.16, -0.47
23, y, kh,  1.00, -0.38
24, k, al,  0.29,  0.39
25, k, is,  0.96,  0.80
26, k, ca,  0.87,  0.27
27, k, ba,  1.41,  0.49
28, k, ms,  1.45,  1.16
29, k, te,  1.91,  0.88
30, k, ka,  2.02,  0.28
31, k, ri,  1.49, -0.09
32, k, mu,  2.09, -0.21
33, k, ce,  2.57, -0.53
34, k, de,  2.49,  0.45
35, k, ko,  2.94,  0.29
36, r, bk,  3.06, -0.27
37, r, ja,  3.08, -1.09
38, r, hc,  3.46, -0.69
39, r, sy,  4.49, -1.96
40, r, mn,  4.09, -0.66
41, r, hk,  3.40, -0.01
42, r, ta,  4.05,  0.28
43, r, sh,  3.36,  0.59
44, r, be,  3.32,  1.01
45, r, se,  3.87,  1.06
46, r, to,  4.35,  0.80
47, r, os,  4.45,  0.30
0, 1
1, 2
1, 3
3, 4
2, 4
3, 5
4, 5
5, 6
5, 7
6, 7
6, 8
7, 8
7, 9
8, 9
8, 10
9, 10
9, 11
0, 12
1, 12
1, 13
2, 14
4, 14
6, 19
8, 24
6, 24
0, 40
0, 46
12, 13
13, 14
13, 15
14, 15
12, 16
13, 16
15, 16
16, 17
17, 18
15, 18
15, 19
18, 19
18, 20
20, 21
21, 22
19, 22
22, 23
21, 23
20, 23
11, 25
10, 25
24, 25
25, 26
24, 26
23, 26
26, 27
25, 27
25, 28
11, 28
28, 29
27, 29
29, 30
26, 31
27, 31
30, 31
30, 32
32, 33
29, 34
30, 34
32, 34
33, 34
33, 35
34, 35
35, 36
33, 37
36, 37
36, 38
37, 38
37, 39
12, 39
38, 40
39, 40
35, 41
36, 41
38, 41
40, 41
40, 42
41, 42
41, 43
42, 43
43, 44
44, 45
43, 45
43, 46
45, 46
42, 47
46, 47
